Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
IIIb 60:z52:z35	O:60	60	O-60	z52	z35	O-60:z52:z35	60:z52:z35	IIIb
IIIb 60:z52:z53	O:60	60	O-60	z52	z53	O-60:z52:z53	60:z52:z53	IIIb
IIIb 61:z52:1,5,7	O:61	61	O-61	z52	1,5,7	O-61:z52:1,5,7	61:z52:1,5,7	IIIb
IIIb 61:z52:z	O:61	61	O-61	z52	z	O-61:z52:z	61:z52:z	IIIb
IIIb 61:z52:z35	O:61	61	O-61	z52	z35	O-61:z52:z35	61:z52:z35	IIIb
IIIb 61:z52:z53	O:61	61	O-61	z52	z53	O-61:z52:z53	61:z52:z53	IIIb
IIIb 65:z52:e,n,x,z15	O:65	65	O-65	z52	e,n,x,z15	O-65:z52:e,n,x,z15	65:z52:e,n,x,z15	IIIb
IIIb 65:z52:z	O:65	65	O-65	z52	z	O-65:z52:z	65:z52:z	IIIb
IIIb 65:z52:z35	O:65	65	O-65	z52	z35	O-65:z52:z35	65:z52:z35	IIIb
IIIb 65:z52:z53	O:65	65	O-65	z52	z53	O-65:z52:z53	65:z52:z53	IIIb
IIIb 35:z52:1,5,7	O:35 (O)	35	O	z52	1,5,7	O:z52:1,5,7	35:z52:1,5,7	IIIb
IIIb 35:z52:e,n,x,z15	O:35 (O)	35	O	z52	e,n,x,z15	O:z52:e,n,x,z15	35:z52:e,n,x,z15	IIIb
IIIb 35:z52:z	O:35 (O)	35	O	z52	z	O:z52:z	35:z52:z	IIIb
IIIb 35:z52:z35	O:35 (O)	35	O	z52	z35	O:z52:z35	35:z52:z35	IIIb
IIIb 38:z52:z35	O:38 (P)	38	P	z52	z35	P:z52:z35	38:z52:z35	IIIb
IIIb 38:z52:z53	O:38 (P)	38	P	z52	z53	P:z52:z53	38:z52:z53	IIIb
IIIb 42:z52:z	O:42 (T)	42	T	z52	z	T:z52:z	42:z52:z	IIIb
IIIb 43:z52:z53	O:43 (U)	43	U	z52	z53	U:z52:z53	43:z52:z53	IIIb
IIIb 47:z52:1,5	O:47 (X)	47	X	z52	1,5	X:z52:1,5	47:z52:1,5	IIIb
IIIb 47:z52:1,5,7	O:47 (X)	47	X	z52	1,5,7	X:z52:1,5,7	47:z52:1,5,7	IIIb
IIIb 47:z52:e,n,x,z15	O:47 (X)	47	X	z52	e,n,x,z15	X:z52:e,n,x,z15	47:z52:e,n,x,z15	IIIb
IIIb 47:z52:z	O:47 (X)	47	X	z52	z	X:z52:z	47:z52:z	IIIb
IIIb 47:z52:z35	O:47 (X)	47	X	z52	z35	X:z52:z35	47:z52:z35	IIIb
IIIb 48:z52:e,n,x,z15	O:48 (Y)1	48	Y	z52	e,n,x,z15	Y:z52:e,n,x,z15	48:z52:e,n,x,z15	IIIb
IIIb 48:z52:z	O:48 (Y)1	48	Y	z52	z	Y:z52:z	48:z52:z	IIIb
IIIb 50:z52:1,5,7	O:50 (Z)	50	Z	z52	1,5,7	Z:z52:1,5,7	50:z52:1,5,7	IIIb
IIIb 50:z52:z35	O:50 (Z)	50	Z	z52	z35	Z:z52:z35	50:z52:z35	IIIb
IIIb 50:z52:z53	O:50 (Z)	50	Z	z52	z53	Z:z52:z53	50:z52:z53	IIIb
IV 41:z52:-	O:41 (S)	41	S	z52	-	S:z52:-	41:z52:-	IV
IIIb 38:z53:-	O:38 (P)	38	P	z53	-	P:z53:-	38:z53:-	IIIb
IIIb 47:z53:-	O:47 (X)	47	X	z53	-	X:z53:-	47:z53:-	IIIb
IIIb 42:z57:1,5	O:42 (T)	42	T	z57	1,5	T:z57:1,5	42:z57:1,5	IIIb
Franken	O:9 (D1)	9,12	D	z6	z67	D:z6:z67	9,12:z6:z67	I
II 6,7:z6:1,7	O:7 (C1)	6,7	C1	z6	1,7	C1:z6:1,7	6,7:z6:1,7	II
II 16:z6:1,6	O:16 (l)	16	I	z6	1,6	I:z6:1,6	16:z6:1,6	II
II 30:z6:1,6	O:30 (N)	30	N	z6	1,6	N:z6:1,6	30:z6:1,6	II
II 58:z6:1,6	O:58	58	O-58	z6	1,6	O-58:z6:1,6	58:z6:1,6	II
II 1,40:z6:1,5	O:40 (R) 	1,40	R	z6	1,5	R:z6:1,5	1,40:z6:1,5	II
II 42:z6:1,6	O:42 (T)	42	T	z6	1,6	T:z6:1,6	42:z6:1,6	II
II 47:z6:1,6	O:47 (X)	47	X	z6	1,6	X:z6:1,6	47:z6:1,6	II
Aesch	O:8 (C2-C3)	6,8	C2-C3	z60	1,2	C2-C3:z60:1,2	6,8:z60:1,2	I
IIIb 38:z61:-	O:38 (P)	38	P	z61	-	P:z61:-	38:z61:-	IIIb
IIIb 38:z61:z53	O:38 (P)	38	P	z61	z53	P:z61:z53	38:z61:z53	IIIb
IIIb 21:z65:e,n,x,z15	O:21 (L)	21	L	z65	e,n,x,z15	L:z65:e,n,x,z15	21:z65:e,n,x,z15	IIIb
V 66:z65:-	O:66	66	O-66	z65	-	O-66:z65:-	66:z65:-	V
V 48:z65:-	O:48 (Y)1	48	Y	z65	-	Y:z65:-	48:z65:-	V
Pietersburg	O:3,10 (E1)	3,{10}{15,34}	E	z69	1,7	E:z69:1,7	3,{10}{15,34}:z69:1,7	I
Delmenhorst	O:18 (K)	18	K	z71	-	K:z71:-	18:z71:-	I
II 1,40:z81:z6	O:40 (R) 	1,40	R	z81	z6	R:z81:z6	1,40:z81:z6	II
V 66:z81:-	O:66	66	O-66	z81	-	O-66:z81:-	66:z81:-	V
V 1,40:z81:-	O:40 (R) 	1,40	R	z81	-	R:z81:-	1,40:z81:-	V
V 48:z81:-	O:48 (Y)1	48	Y	z81	-	Y:z81:-	48:z81:-	V
Mygdal	O:4 (B)	4,12	B	z91	-	B:z91:-	4,12:z91:-	I
